Merkmal;Beschreibung;Wertung_a;Ausprägung;Wertung;Hinweis
Baumarten  (Baumartengruppe 'Kiefer');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Gemeine Kiefer KI;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Kiefer' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumarten  (Baumartengruppe 'Kiefer');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Kiefer (spec.) KIE;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Kiefer' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumarten  (Baumartengruppe 'Kiefer');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Schwarzkiefer SKI;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Kiefer' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumarten  (Baumartengruppe 'Kiefer');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Weymouthskiefer WKI;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Kiefer' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumarten  (Baumartengruppe 'Lärche');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Japanische Lärche (einschließlich Hybride) JLA;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Lärche' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumarten  (Baumartengruppe 'Lärche');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Europäische Lärche ELA;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Lärche' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumarten  (Baumartengruppe 'Lärche');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Lärche (spec.) LA;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Lärche' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsart: Reinbestand;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsart: Mischbestand;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform: baumweise;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
